LCD,HHS_RSTMT,HHR,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_FACTS_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,Y,N,0,|,1,200,210,5,30,,N,
LCD,HHS,HHS,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_PR_%%%%%%%%%%%%%%.dat.gz,N,DAILY,SGMT_REG,Y,GZIP,Y,N,0,|,1,200,210,5,30,,N,
LCD,HHS_RSTMT,HHR,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_PR_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,Y,N,0,|,1,200,210,5,30,,N,
LCD,HHS,HHS,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_PS_%%%%%%%%%%%%%%.dat.gz,N,DAILY,SGMT_REG,Y,GZIP,Y,N,0,|,1,200,210,5,30,,N,
LCD,HHS_RSTMT,HHR,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_PS_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,Y,N,0,|,1,200,210,5,30,,N,
LCD,HHS,HHS,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_TP_%%%%%%%%%%%%%%.dat.gz,N,DAILY,SGMT_REG,Y,GZIP,Y,N,0,|,1,200,210,5,30,,N,
LCD,HHS_RSTMT,HHR,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_TP_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,Y,N,0,|,1,200,210,5,30,,N,
LCD,HOU,HOU,gunzip,1,Y,1,Y,30,N,HOU_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,Y,N,0,|,1,200,210,1,22,,N,
LCD,IDC,IDC,gunzip,1,Y,1,Y,30,N,IDC_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,Y,N,0,|,1,200,210,1,22,,N,
LCD,NON,NON,gunzip,1,Y,1,Y,30,Y,NON_ARCH_%.txt.gz,N,DAILY,NONSTD_ARCH,Y,GZIP,Y,Y,1,|,1,200,210,9,17,,N,
LCD,PCR,PCR,gunzip,1,Y,1,Y,30,Y,PCR_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,NON_STD,Y,GZIP,Y,N,0,|,1,200,210,1,22,,N,
LCD,PRO,PRO,gunzip,1,Y,1,Y,30,N,PRO_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,Y,N,0,|,1,200,210,1,22,,N,
LCD,PRS,PRS,gunzip,1,Y,1,Y,30,N,PRS_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,N,Y,1,|,1,200,210,1,256,,N,
LCD,STO,STO,gunzip,1,Y,1,Y,30,N,STO_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,Y,N,0,|,1,200,210,1,22,,N,
LCD,STS,STS,gunzip,1,Y,1,Y,30,N,STS_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,Y,N,0,|,1,200,210,5,50,,N,
LCD,TLOG,BAS,gunzip,4,Y,1,Y,30,N,BAS_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,TLOG_REG,Y,GZIP,Y,Y,1,|,10,200,210,5,22,,N,
LCD,TLOG,BDI,gunzip,4,Y,1,Y,30,N, BDI_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,TLOG_REG,Y,GZIP,Y,Y,1,|,10,200,210,5,22,,N,
LCD,TLOG,BNI,gunzip,4,Y,1,Y,30,N,BNI_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,TLOG_REG,Y,GZIP,Y,Y,1,|,10,200,210,5,22,,N,
LCD,TLOG,ITM,gunzip,4,Y,1,Y,30,N,ITM_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,TLOG_REG,Y,GZIP,Y,Y,1,|,10,200,210,5,22,,N,
LCD,TLOG_RSTMT,BAR,gunzip,4,Y,1,Y,30,N,BAS_%%%_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,Y,Y,1,|,10,200,210,5,22,,N,
LCD,TLOG_RSTMT,BNR,gunzip,4,Y,1,Y,30,N,BNI_%%%_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,Y,Y,1,|,10,200,210,5,22,,N,
LCD,TLOG_RSTMT,BRS,gunzip,4,Y,1,Y,30,N, BDI_%%%_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,Y,Y,1,|,10,200,210,5,22,,N,
LCD,TLOG_RSTMT,ITR,gunzip,4,Y,1,Y,30,N,ITM_%%%_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,Y,Y,1,|,10,200,210,5,22,,N,
